Neighbourhood,Latitude,Longitude
Cidade Nova,-22.908767383417302,-43.20061217213208
Cidade Nova,-22.910752745512944,-43.19932882371928
Praça da Bandeira,-22.910759939948132,-43.21285631893865
Praça da Bandeira,-22.912586555746405,-43.21421869493449
Vila Isabel,-22.9199011064085,-43.23948355700806
Vila Isabel,-22.913655667227843,-43.243260107107
Vila Isabel,-22.915632103159247,-43.255791386980746
Maracanã,-22.9130362076949,-43.23193196158697
Maracanã,-22.913046870745323,-43.222654525316585
Glória,-22.922357081227318,-43.17385014658221
Glória,-22.92063586793428,-43.17831636645666
Glória,-22.917038865839466,-43.174625647041786
Rio Comprido,-22.92703342167189,-43.211521547384095
Rio Comprido,-22.926215634494472,-43.20320081439778
Santa Teresa,-22.922425524016873,-43.18917538116861
Santa Teresa,-22.917675716154864,-43.18277603214749
Santa Teresa,-22.92518579656897,-43.1948781586009
Estácio,-22.91618458323409,-43.20313524317247
Estácio,-22.91553629575091,-43.205140910880175
Estácio,-22.918459227396497,-43.204990848114406
Tijuca,-22.93537163641441,-43.2427662681058
Tijuca,-22.928415582845865,-43.230308817293874
Tijuca,-22.92122446385906,-43.22278360836005
Grajaú,-22.928647055654814,-43.26974130177892
Grajaú,-22.925547494651624,-43.26387756533461
Pechincha,-22.934664342886492,-43.357044473386225
Pechincha,-22.927424505630693,-43.351779190632854
Pechincha,-22.92402510941804,-43.3487919533009
Andaraí,-22.924059443653547,-43.249408436878454
Andaraí,-22.93119776058235,-43.25500980707842
Andaraí,-22.933306840724267,-43.25825845619183
Catete,-22.926570632087422,-43.179933799799045
Flamengo,-22.9348703777366,-43.17489700350885
Flamengo,-22.93847604258558,-43.17513026684073
Flamengo,-22.932152412533917,-43.1744436213682
Laranjeiras,-22.933436956265254,-43.18718131261842
Laranjeiras,-22.940743297757457,-43.19266586302951
Guaratiba,-22.99387829642962,-43.594772887052656
Guaratiba,-22.96455434579056,-43.59619143618785
Guaratiba,-22.974967177189114,-43.64907688302259
Vargem Grande,-22.972259943597955,-43.49780971906256
Vargem Grande,-23.00283868991029,-43.50707943294177
Alto da Boa Vista,-22.963826510761766,-43.264437460217295
Cosme Velho,-22.941623961356004,-43.200340656586455
Cosme Velho,-22.94215683730519,-43.20405849758736
Cosme Velho,-22.94167027051899,-43.19845712400228
Cosme Velho,-22.939062520266962,-43.19630553085206
Curicica,-22.94998590376666,-43.3849480939769
Curicica,-22.943956560195208,-43.38190399836281
Curicica,-22.957234684104936,-43.39014374403321
Botafogo,-22.951385138690686,-43.18777948974914
Botafogo,-22.9555926710086,-43.179177038752655
Botafogo,-22.94523888192051,-43.18462728711814
Cidade de Deus,-22.9476317920302,-43.36255796085143
Cidade de Deus,-22.94954571624567,-43.3631462071007
Cidade de Deus,-22.950674715413946,-43.35923282933108
Cidade de Deus,-22.946213591462637,-43.36785466191731
Sepetiba,-22.975266316778047,-43.688979588299006
Sepetiba,-22.969260508781687,-43.70048089996395
Sepetiba,-22.96040935801691,-43.695846043024346
Anil,-22.950723103038577,-43.3344883612439
Anil,-22.95430553937981,-43.34267457027575
Anil,-22.973473725326514,-43.334269409750355
Jacarepaguá,-22.96371402241757,-43.370479230722715
Jacarepaguá,-22.939212879323055,-43.40489733532895
Jacarepaguá,-22.965383961402427,-43.326046406120795
Jacarepaguá,-22.966914650412093,-43.41292250399375
Jacarepaguá,-22.975172710902406,-43.33833563952646
Camorim,-22.981442429041522,-43.418231604837075
Gardênia Azul,-22.958996715932024,-43.352909144327626
Gardênia Azul,-22.958996715932024,-43.352909144327626
Jardim Botânico,-22.964667367347793,-43.222889547876775
Jardim Botânico,-22.967107704811955,-43.23667078072275
Jardim Botânico,-22.95857254065881,-43.207488348140046
Vargem Pequena,-22.980648643860114,-43.46145308056124
Vargem Pequena,-22.98581709256655,-43.45212798201803
Vargem Pequena,-22.989086806452505,-43.43872939235537
Leme,-22.961292503016953,-43.1671248421196
Leme,-22.96263177147597,-43.17075178185909
Lagoa,-22.973542494800718,-43.20388207350381
Lagoa,-22.963901339909636,-43.205813263895315
